,FILEID,FILETYPE,STUSAB,CHARITER,SEQUENCE,LOGRECNO,American Indian and Alaska Native alone population 3 years and over,American Indian and Alaska Native alone population 3 years and over%%Enrolled in school:,"American Indian and Alaska Native alone population 3 years and over%%Enrolled in school:%%Enrolled in nursery school, preschool, kindergarten",American Indian and Alaska Native alone population 3 years and over%%Enrolled in school:%%Enrolled in grade 1 to grade 8,American Indian and Alaska Native alone population 3 years and over%%Enrolled in school:%%Enrolled in grade 9 to grade 12,American Indian and Alaska Native alone population 3 years and over%%Enrolled in school:%%Enrolled in college or graduate school,American Indian and Alaska Native alone population 3 years and over%%Not enrolled in school,Asian alone population 3 years and over,Asian alone population 3 years and over%%Enrolled in school:,"Asian alone population 3 years and over%%Enrolled in school:%%Enrolled in nursery school, preschool, kindergarten",Asian alone population 3 years and over%%Enrolled in school:%%Enrolled in grade 1 to grade 8,Asian alone population 3 years and over%%Enrolled in school:%%Enrolled in grade 9 to grade 12,Asian alone population 3 years and over%%Enrolled in school:%%Enrolled in college or graduate school,Asian alone population 3 years and over%%Not enrolled in school,Native Hawaiian and Other Pacific Islander alone population 3 years and over,Native Hawaiian and Other Pacific Islander alone population 3 years and over%%Enrolled in school:,"Native Hawaiian and Other Pacific Islander alone population 3 years and over%%Enrolled in school:%%Enrolled in nursery school, preschool, kindergarten",Native Hawaiian and Other Pacific Islander alone population 3 years and over%%Enrolled in school:%%Enrolled in grade 1 to grade 8,Native Hawaiian and Other Pacific Islander alone population 3 years and over%%Enrolled in school:%%Enrolled in grade 9 to grade 12,Native Hawaiian and Other Pacific Islander alone population 3 years and over%%Enrolled in school:%%Enrolled in college or graduate school,Native Hawaiian and Other Pacific Islander alone population 3 years and over%%Not enrolled in school,Some other race alone population 3 years and over,Some other race alone population 3 years and over%%Enrolled in school:,"Some other race alone population 3 years and over%%Enrolled in school:%%Enrolled in nursery school, preschool, kindergarten",Some other race alone population 3 years and over%%Enrolled in school:%%Enrolled in grade 1 to grade 8,Some other race alone population 3 years and over%%Enrolled in school:%%Enrolled in grade 9 to grade 12,Some other race alone population 3 years and over%%Enrolled in school:%%Enrolled in college or graduate school,Some other race alone population 3 years and over%%Not enrolled in school,Two or more races population 3 years and over,Two or more races population 3 years and over%%Enrolled in school:,"Two or more races population 3 years and over%%Enrolled in school:%%Enrolled in nursery school, preschool, kindergarten",Two or more races population 3 years and over%%Enrolled in school:%%Enrolled in grade 1 to grade 8,Two or more races population 3 years and over%%Enrolled in school:%%Enrolled in grade 9 to grade 12,Two or more races population 3 years and over%%Enrolled in school:%%Enrolled in college or graduate school,Two or more races population 3 years and over%%Not enrolled in school,"White alone, not Hispanic or Latino, population 3 years and over","White alone, not Hispanic or Latino, population 3 years and over%%Enrolled in school:","White alone, not Hispanic or Latino, population 3 years and over%%Enrolled in school:%%Enrolled in nursery school, preschool, kindergarten","White alone, not Hispanic or Latino, population 3 years and over%%Enrolled in school:%%Enrolled in grade 1 to grade 8","White alone, not Hispanic or Latino, population 3 years and over%%Enrolled in school:%%Enrolled in grade 9 to grade 12","White alone, not Hispanic or Latino, population 3 years and over%%Enrolled in school:%%Enrolled in college or graduate school","White alone, not Hispanic or Latino, population 3 years and over%%Not enrolled in school",Hispanic or Latino population 3 years and over,Hispanic or Latino population 3 years and over%%Enrolled in school:,"Hispanic or Latino population 3 years and over%%Enrolled in school:%%Enrolled in nursery school, preschool, kindergarten",Hispanic or Latino population 3 years and over%%Enrolled in school:%%Enrolled in grade 1 to grade 8,Hispanic or Latino population 3 years and over%%Enrolled in school:%%Enrolled in grade 9 to grade 12,Hispanic or Latino population 3 years and over%%Enrolled in school:%%Enrolled in college or graduate school,Hispanic or Latino population 3 years and over%%Not enrolled in school,Geographic Identifier,Area Name
0,ACSSF,20130.0,dc,0,59,2,,,,,,,,22415.0,6801.0,216.0,956.0,321.0,5308.0,15614.0,,,,,,,,20183.0,6405.0,704.0,1712.0,1301.0,2688.0,13778.0,18621.0,6748.0,1538.0,1807.0,905.0,2498.0,11873.0,222352,49501,3799,8007,2473,35222,172851,61846,21386,3428,5697,3204,9057,40460,04001US11,District of Columbia -- Urban
1,ACSSF,20130.0,dc,0,59,3,,,,,,,,22415.0,6801.0,216.0,956.0,321.0,5308.0,15614.0,,,,,,,,20183.0,6405.0,704.0,1712.0,1301.0,2688.0,13778.0,18621.0,6748.0,1538.0,1807.0,905.0,2498.0,11873.0,222352,49501,3799,8007,2473,35222,172851,61846,21386,3428,5697,3204,9057,40460,040A0US11,District of Columbia -- In metropolitan or micropolitan statistical area
2,ACSSF,20130.0,dc,0,59,4,,,,,,,,22415.0,6801.0,216.0,956.0,321.0,5308.0,15614.0,,,,,,,,20183.0,6405.0,704.0,1712.0,1301.0,2688.0,13778.0,18621.0,6748.0,1538.0,1807.0,905.0,2498.0,11873.0,222352,49501,3799,8007,2473,35222,172851,61846,21386,3428,5697,3204,9057,40460,040C0US11,District of Columbia -- In metropolitan statistical area
3,ACSSF,20130.0,dc,0,59,5,,,,,,,,22415.0,6801.0,216.0,956.0,321.0,5308.0,15614.0,,,,,,,,20183.0,6405.0,704.0,1712.0,1301.0,2688.0,13778.0,18621.0,6748.0,1538.0,1807.0,905.0,2498.0,11873.0,222352,49501,3799,8007,2473,35222,172851,61846,21386,3428,5697,3204,9057,40460,040C1US11,District of Columbia -- In metropolitan statistical area -- in principal city
4,ACSSF,20130.0,dc,0,59,6,,,,,,,,22415.0,6801.0,216.0,956.0,321.0,5308.0,15614.0,,,,,,,,20183.0,6405.0,704.0,1712.0,1301.0,2688.0,13778.0,18621.0,6748.0,1538.0,1807.0,905.0,2498.0,11873.0,222352,49501,3799,8007,2473,35222,172851,61846,21386,3428,5697,3204,9057,40460,05000US11001,"District of Columbia, District of Columbia"
5,ACSSF,20130.0,dc,0,59,7,,,,,,,,22415.0,6801.0,216.0,956.0,321.0,5308.0,15614.0,,,,,,,,20183.0,6405.0,704.0,1712.0,1301.0,2688.0,13778.0,18621.0,6748.0,1538.0,1807.0,905.0,2498.0,11873.0,222352,49501,3799,8007,2473,35222,172851,61846,21386,3428,5697,3204,9057,40460,16000US1150000,"Washington city, District of Columbia"
6,ACSSF,20130.0,dc,0,59,8,,,,,,,,22415.0,6801.0,216.0,956.0,321.0,5308.0,15614.0,,,,,,,,20183.0,6405.0,704.0,1712.0,1301.0,2688.0,13778.0,18621.0,6748.0,1538.0,1807.0,905.0,2498.0,11873.0,222352,49501,3799,8007,2473,35222,172851,61846,21386,3428,5697,3204,9057,40460,31200US479001150000,"Washington city, DC; Washington-Arlington-Alexandria, DC-VA-MD-WV Metro Area"
7,ACSSF,20130.0,dc,0,59,9,,,,,,,,22415.0,6801.0,216.0,956.0,321.0,5308.0,15614.0,,,,,,,,20183.0,6405.0,704.0,1712.0,1301.0,2688.0,13778.0,18621.0,6748.0,1538.0,1807.0,905.0,2498.0,11873.0,222352,49501,3799,8007,2473,35222,172851,61846,21386,3428,5697,3204,9057,40460,50000US1198,"Delegate District (at Large) (113th Congress), District of Columbia"
8,ACSSF,20130.0,dc,0,59,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5735.0,3436.0,773.0,1270.0,540.0,853.0,2299.0,73397,19934,1649,4460,1814,12011,53463,11549,4235,720,1438,294,1783,7314,79500US1100101,"District of Columbia (West) PUMA, District of Columbia"
9,ACSSF,20130.0,dc,0,59,11,,,,,,,,3841.0,687.0,46.0,269.0,152.0,220.0,3154.0,,,,,,,,10908.0,3277.0,50.0,869.0,1141.0,1217.0,7631.0,2866.0,779.0,399.0,121.0,68.0,191.0,2087.0,29111,6671,651,1113,151,4756,22440,23607,8593,1344,2560,2013,2676,15014,79500US1100102,"District of Columbia (North) PUMA, District of Columbia"
