,FILEID,FILETYPE,STUSAB,CHARITER,SEQUENCE,LOGRECNO,"Full-time, year-round civilian employed female population 16 years and over%Supervisors of transportation and material moving workers","Full-time, year-round civilian employed female population 16 years and over%Aircraft pilots and flight engineers","Full-time, year-round civilian employed female population 16 years and over%Air traffic controllers and airfield operations specialists","Full-time, year-round civilian employed female population 16 years and over%Flight attendants","Full-time, year-round civilian employed female population 16 years and over%Ambulance drivers and attendants, except emergency medical technicians","Full-time, year-round civilian employed female population 16 years and over%Bus drivers","Full-time, year-round civilian employed female population 16 years and over%Driver/sales workers and truck drivers","Full-time, year-round civilian employed female population 16 years and over%Taxi drivers and chauffeurs","Full-time, year-round civilian employed female population 16 years and over%Motor vehicle operators, all other","Full-time, year-round civilian employed female population 16 years and over%Locomotive engineers and operators","Full-time, year-round civilian employed female population 16 years and over%Railroad brake, signal, and switch operators","Full-time, year-round civilian employed female population 16 years and over%Railroad conductors and yardmasters","Full-time, year-round civilian employed female population 16 years and over%Subway, streetcar, and other rail transportation workers","Full-time, year-round civilian employed female population 16 years and over%Sailors and marine oilers","Full-time, year-round civilian employed female population 16 years and over%Ship and boat captains and operators","Full-time, year-round civilian employed female population 16 years and over%Ship engineers","Full-time, year-round civilian employed female population 16 years and over%Bridge and lock tenders","Full-time, year-round civilian employed female population 16 years and over%Parking lot attendants","Full-time, year-round civilian employed female population 16 years and over%Automotive and watercraft service attendants","Full-time, year-round civilian employed female population 16 years and over%Transportation inspectors","Full-time, year-round civilian employed female population 16 years and over%Transportation attendants, except flight attendants","Full-time, year-round civilian employed female population 16 years and over%Other transportation workers","Full-time, year-round civilian employed female population 16 years and over%Conveyor operators and tenders","Full-time, year-round civilian employed female population 16 years and over%Crane and tower operators","Full-time, year-round civilian employed female population 16 years and over%Dredge, excavating, and loading machine operators","Full-time, year-round civilian employed female population 16 years and over%Hoist and winch operators","Full-time, year-round civilian employed female population 16 years and over%Industrial truck and tractor operators","Full-time, year-round civilian employed female population 16 years and over%Cleaners of vehicles and equipment","Full-time, year-round civilian employed female population 16 years and over%Laborers and freight, stock, and material movers, hand","Full-time, year-round civilian employed female population 16 years and over%Machine feeders and offbearers","Full-time, year-round civilian employed female population 16 years and over%Packers and packagers, hand","Full-time, year-round civilian employed female population 16 years and over%Pumping station operators","Full-time, year-round civilian employed female population 16 years and over%Refuse and recyclable material collectors","Full-time, year-round civilian employed female population 16 years and over%Mine shuttle car operators","Full-time, year-round civilian employed female population 16 years and over%Tank car, truck, and ship loaders","Full-time, year-round civilian employed female population 16 years and over%Material moving workers, all other",Geographic Identifier,Area Name
0,ACSSF,20110.0,dc,0,150,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,04001US11,District of Columbia -- Urban
1,ACSSF,20110.0,dc,0,150,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,040A0US11,District of Columbia -- In metropolitan or micropolitan statistical area
2,ACSSF,20110.0,dc,0,150,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,040C0US11,District of Columbia -- In metropolitan statistical area
3,ACSSF,20110.0,dc,0,150,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,040C1US11,District of Columbia -- In metropolitan statistical area -- in principal city
4,ACSSF,20110.0,dc,0,150,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,05000US11001,"District of Columbia, District of Columbia"
5,ACSSF,20110.0,dc,0,150,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16000US1150000,"Washington city, District of Columbia"
6,ACSSF,20110.0,dc,0,150,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31200US479001150000,"Washington city, DC; Washington-Arlington-Alexandria, DC-VA-MD-WV Metro Area"
7,ACSSF,20110.0,dc,0,150,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50000US1198,"Delegate District (at Large) (112th Congress), District of Columbia"
8,ACSSF,20110.0,dc,0,150,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,79500US1100101,"PUMA5 00101, District of Columbia"
9,ACSSF,20110.0,dc,0,150,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,79500US1100102,"PUMA5 00102, District of Columbia"
10,ACSSF,20110.0,dc,0,150,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,79500US1100103,"PUMA5 00103, District of Columbia"
11,ACSSF,20110.0,dc,0,150,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,79500US1100104,"PUMA5 00104, District of Columbia"
12,ACSSF,20110.0,dc,0,150,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,79500US1100105,"PUMA5 00105, District of Columbia"
13,ACSSF,20110.0,dc,0,150,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,97000US1100030,"District of Columbia Public Schools, District of Columbia"
