,FILEID,FILETYPE,STUSAB,CHARITER,SEQUENCE,LOGRECNO,Workers 16 years and over who did not work at home,Workers 16 years and over who did not work at home% 12:00 a.m. to 4:59 a.m.,Workers 16 years and over who did not work at home% 5:00 a.m. to 5:29 a.m.,Workers 16 years and over who did not work at home% 5:30 a.m. to 5:59 a.m.,Workers 16 years and over who did not work at home% 6:00 a.m. to 6:29 a.m.,Workers 16 years and over who did not work at home% 6:30 a.m. to 6:59 a.m.,Workers 16 years and over who did not work at home% 7:00 a.m. to 7:29 a.m.,Workers 16 years and over who did not work at home% 7:30 a.m. to 7:59 a.m.,Workers 16 years and over who did not work at home% 8:00 a.m. to 8:29 a.m.,Workers 16 years and over who did not work at home% 8:30 a.m. to 8:59 a.m.,Workers 16 years and over who did not work at home% 9:00 a.m. to 9:59 a.m.,Workers 16 years and over who did not work at home% 10:00 a.m. to 10:59 a.m.,Workers 16 years and over who did not work at home% 11:00 a.m. to 11:59 a.m.,Workers 16 years and over who did not work at home% 12:00 p.m. to 3:59 p.m.,Workers 16 years and over who did not work at home% 4:00 p.m. to 11:59 p.m.,Workers 16 years and over who did not work at home,Workers 16 years and over who did not work at home% Less than 5 minutes,Workers 16 years and over who did not work at home% 5 to 9 minutes,Workers 16 years and over who did not work at home% 10 to 14 minutes,Workers 16 years and over who did not work at home% 15 to 19 minutes,Workers 16 years and over who did not work at home% 20 to 24 minutes,Workers 16 years and over who did not work at home% 25 to 29 minutes,Workers 16 years and over who did not work at home% 30 to 34 minutes,Workers 16 years and over who did not work at home% 35 to 39 minutes,Workers 16 years and over who did not work at home% 40 to 44 minutes,Workers 16 years and over who did not work at home% 45 to 59 minutes,Workers 16 years and over who did not work at home% 60 to 89 minutes,Workers 16 years and over who did not work at home% 90 or more minutes,Workers 16 years and over who did not work at home,Workers 16 years and over who did not work at home% 12:00 a.m. to 4:59 a.m.,Workers 16 years and over who did not work at home% 5:00 a.m. to 5:29 a.m.,Workers 16 years and over who did not work at home% 5:30 a.m. to 5:59 a.m.,Workers 16 years and over who did not work at home% 6:00 a.m. to 6:29 a.m.,Workers 16 years and over who did not work at home% 6:30 a.m. to 6:59 a.m.,Workers 16 years and over who did not work at home% 7:00 a.m. to 7:29 a.m.,Workers 16 years and over who did not work at home% 7:30 a.m. to 7:59 a.m.,Workers 16 years and over who did not work at home% 8:00 a.m. to 8:29 a.m.,Workers 16 years and over who did not work at home% 8:30 a.m. to 8:59 a.m.,Workers 16 years and over who did not work at home% 9:00 a.m. to 11:59 p.m.,Workers 16 years and over who did not work at home,Workers 16 years and over who did not work at home% Less than 10 minutes,Workers 16 years and over who did not work at home% 10 to 14 minutes,Workers 16 years and over who did not work at home% 15 to 19 minutes,Workers 16 years and over who did not work at home% 20 to 24 minutes,Workers 16 years and over who did not work at home% 25 to 29 minutes,Workers 16 years and over who did not work at home% 30 to 34 minutes,Workers 16 years and over who did not work at home% 35 to 44 minutes,Workers 16 years and over who did not work at home% 45 to 59 minutes,Workers 16 years and over who did not work at home% 60 or more minutes,Geographic Identifier,Area Name
0,ACSSF,20120.0,dc,0,42,2,311014,4892,6881,8609,17855,17487,35394,39418,56036,45087,34912,10933,3936,17048,12526,311014,3365,13561,24275,40295,50417,21448,62901,15717,15935,33629,21836,7635,311014,4892,6881,8609,17855,17487,35394,39418,56036,45087,79355,311014,16926,24275,40295,50417,21448,62901,31652,33629,29471,04001US11,District of Columbia -- Urban
1,ACSSF,20120.0,dc,0,42,3,311014,4892,6881,8609,17855,17487,35394,39418,56036,45087,34912,10933,3936,17048,12526,311014,3365,13561,24275,40295,50417,21448,62901,15717,15935,33629,21836,7635,311014,4892,6881,8609,17855,17487,35394,39418,56036,45087,79355,311014,16926,24275,40295,50417,21448,62901,31652,33629,29471,040A0US11,District of Columbia -- In metropolitan or micropolitan statistical area
2,ACSSF,20120.0,dc,0,42,4,311014,4892,6881,8609,17855,17487,35394,39418,56036,45087,34912,10933,3936,17048,12526,311014,3365,13561,24275,40295,50417,21448,62901,15717,15935,33629,21836,7635,311014,4892,6881,8609,17855,17487,35394,39418,56036,45087,79355,311014,16926,24275,40295,50417,21448,62901,31652,33629,29471,040C0US11,District of Columbia -- In metropolitan statistical area
3,ACSSF,20120.0,dc,0,42,5,311014,4892,6881,8609,17855,17487,35394,39418,56036,45087,34912,10933,3936,17048,12526,311014,3365,13561,24275,40295,50417,21448,62901,15717,15935,33629,21836,7635,311014,4892,6881,8609,17855,17487,35394,39418,56036,45087,79355,311014,16926,24275,40295,50417,21448,62901,31652,33629,29471,040C1US11,District of Columbia -- In metropolitan statistical area -- in principal city
4,ACSSF,20120.0,dc,0,42,6,311014,4892,6881,8609,17855,17487,35394,39418,56036,45087,34912,10933,3936,17048,12526,311014,3365,13561,24275,40295,50417,21448,62901,15717,15935,33629,21836,7635,311014,4892,6881,8609,17855,17487,35394,39418,56036,45087,79355,311014,16926,24275,40295,50417,21448,62901,31652,33629,29471,05000US11001,"District of Columbia, District of Columbia"
5,ACSSF,20120.0,dc,0,42,7,311014,4892,6881,8609,17855,17487,35394,39418,56036,45087,34912,10933,3936,17048,12526,311014,3365,13561,24275,40295,50417,21448,62901,15717,15935,33629,21836,7635,311014,4892,6881,8609,17855,17487,35394,39418,56036,45087,79355,311014,16926,24275,40295,50417,21448,62901,31652,33629,29471,16000US1150000,"Washington city, District of Columbia"
6,ACSSF,20120.0,dc,0,42,8,311014,4892,6881,8609,17855,17487,35394,39418,56036,45087,34912,10933,3936,17048,12526,311014,3365,13561,24275,40295,50417,21448,62901,15717,15935,33629,21836,7635,311014,4892,6881,8609,17855,17487,35394,39418,56036,45087,79355,311014,16926,24275,40295,50417,21448,62901,31652,33629,29471,31200US479001150000,"Washington city, DC; Washington-Arlington-Alexandria, DC-VA-MD-WV Metro Area"
7,ACSSF,20120.0,dc,0,42,9,311014,4892,6881,8609,17855,17487,35394,39418,56036,45087,34912,10933,3936,17048,12526,311014,3365,13561,24275,40295,50417,21448,62901,15717,15935,33629,21836,7635,311014,4892,6881,8609,17855,17487,35394,39418,56036,45087,79355,311014,16926,24275,40295,50417,21448,62901,31652,33629,29471,50000US1198,"Delegate District (at Large) (113th Congress), District of Columbia"
8,ACSSF,20120.0,dc,0,42,10,56117,242,448,436,1196,1894,5709,7599,13753,11955,7909,1432,479,1883,1182,56117,1326,1868,5438,6501,9463,3148,13296,3214,3843,5638,1597,785,56117,242,448,436,1196,1894,5709,7599,13753,11955,12885,56117,3194,5438,6501,9463,3148,13296,7057,5638,2382,79500US1100101,"District of Columbia (West) PUMA, District of Columbia"
9,ACSSF,20120.0,dc,0,42,11,63644,1411,1641,2180,4255,4030,8150,8732,10053,6269,6589,2981,775,3653,2925,63644,370,1476,2368,6909,10761,4129,14881,2678,3718,7797,6911,1646,63644,1411,1641,2180,4255,4030,8150,8732,10053,6269,16923,63644,1846,2368,6909,10761,4129,14881,6396,7797,8557,79500US1100102,"District of Columbia (North) PUMA, District of Columbia"
10,ACSSF,20120.0,dc,0,42,12,52671,890,963,1179,3525,3730,5329,6992,9991,6480,5631,1357,1116,3614,1874,52671,521,3026,3822,7305,9024,4694,9202,3050,2586,5043,3127,1271,52671,890,963,1179,3525,3730,5329,6992,9991,6480,13592,52671,3547,3822,7305,9024,4694,9202,5636,5043,4398,79500US1100103,"District of Columbia (Northeast) PUMA, District of Columbia"
11,ACSSF,20120.0,dc,0,42,13,44917,1700,2721,2497,4559,4614,6995,3541,4360,2345,2571,1819,825,3640,2730,44917,570,2510,1882,4306,5511,2701,8810,2161,2230,5636,6142,2458,44917,1700,2721,2497,4559,4614,6995,3541,4360,2345,11585,44917,3080,1882,4306,5511,2701,8810,4391,5636,8600,79500US1100104,"District of Columbia (East) PUMA, District of Columbia"
12,ACSSF,20120.0,dc,0,42,14,93665,649,1108,2317,4320,3219,9211,12554,17879,18038,12212,3344,741,4258,3815,93665,578,4681,10765,15274,15658,6776,16712,4614,3558,9515,4059,1475,93665,649,1108,2317,4320,3219,9211,12554,17879,18038,24370,93665,5259,10765,15274,15658,6776,16712,8172,9515,5534,79500US1100105,"District of Columbia (Central) PUMA, District of Columbia"
13,ACSSF,20120.0,dc,0,42,15,311014,4892,6881,8609,17855,17487,35394,39418,56036,45087,34912,10933,3936,17048,12526,311014,3365,13561,24275,40295,50417,21448,62901,15717,15935,33629,21836,7635,311014,4892,6881,8609,17855,17487,35394,39418,56036,45087,79355,311014,16926,24275,40295,50417,21448,62901,31652,33629,29471,97000US1100030,"District of Columbia Public Schools, District of Columbia"
