,FILEID,FILETYPE,STUSAB,CHARITER,SEQUENCE,LOGRECNO,IMPUTATION OF MORTGAGE STATUS AND SELECTED MONTHLY OWNER COSTS for Owner-occupied housing units,IMPUTATION OF MORTGAGE STATUS AND SELECTED MONTHLY OWNER COSTS% Housing units with a mortgage:,IMPUTATION OF MORTGAGE STATUS AND SELECTED MONTHLY OWNER COSTS% Housing units with a mortgage:% Selected monthly owner costs --% One or more items imputed,IMPUTATION OF MORTGAGE STATUS AND SELECTED MONTHLY OWNER COSTS% Housing units with a mortgage:% Selected monthly owner costs --% No items imputed,IMPUTATION OF MORTGAGE STATUS AND SELECTED MONTHLY OWNER COSTS% Housing units without a mortgage:,IMPUTATION OF MORTGAGE STATUS AND SELECTED MONTHLY OWNER COSTS% Housing units without a mortgage:% Selected monthly owner costs --% One or more items imputed,IMPUTATION OF MORTGAGE STATUS AND SELECTED MONTHLY OWNER COSTS% Housing units without a mortgage:% Selected monthly owner costs --% No items imputed,IMPUTATION OF SELECTED MONTHLY OWNER COSTS FOR OWNER-OCCUPIED HOUSING UNITS for Owner-occupied housing units,IMPUTATION OF SELECTED MONTHLY OWNER COSTS FOR OWNER-OCCUPIED HOUSING UNITS% 1 or more items imputed,IMPUTATION OF SELECTED MONTHLY OWNER COSTS FOR OWNER-OCCUPIED HOUSING UNITS% Not imputed,IMPUTATION OF VACANCY STATUS for Vacant housing units,IMPUTATION OF VACANCY STATUS% Imputed,IMPUTATION OF VACANCY STATUS% Not imputed,IMPUTATION OF ROOMS for Housing units,IMPUTATION OF ROOMS% Imputed,IMPUTATION OF ROOMS% Not imputed,IMPUTATION OF UNITS IN STRUCTURE for Housing units,IMPUTATION OF UNITS IN STRUCTURE% Imputed,IMPUTATION OF UNITS IN STRUCTURE% Not imputed,IMPUTATION OF YEAR STRUCTURE BUILT for Housing units,IMPUTATION OF YEAR STRUCTURE BUILT% Imputed,IMPUTATION OF YEAR STRUCTURE BUILT% Not imputed,IMPUTATION OF YEAR HOUSEHOLDER MOVED INTO UNIT for Occupied housing units,IMPUTATION OF YEAR HOUSEHOLDER MOVED INTO UNIT% Imputed,IMPUTATION OF YEAR HOUSEHOLDER MOVED INTO UNIT% Not imputed,IMPUTATION OF BEDROOMS for Housing units,IMPUTATION OF BEDROOMS% Imputed,IMPUTATION OF BEDROOMS% Not imputed,IMPUTATION OF PLUMBING FACILITIES for Housing units,IMPUTATION OF PLUMBING FACILITIES% Imputed,IMPUTATION OF PLUMBING FACILITIES% Not imputed,IMPUTATION OF HEALTH INSURANCE COVERAGE for Civilian noninstitutionalized population,IMPUTATION OF HEALTH INSURANCE COVERAGE% One or more health insurance items imputed,IMPUTATION OF HEALTH INSURANCE COVERAGE% No health insurance items imputed,IMPUTATION OF PRIVATE HEALTH INSURANCE for Civilian noninstitutionalized population,IMPUTATION OF PRIVATE HEALTH INSURANCE% One or more private health insurance items imputed,IMPUTATION OF PRIVATE HEALTH INSURANCE% No private health insurance items imputed,IMPUTATION OF PUBLIC HEALTH INSURANCE for Civilian noninstitutionalized population,IMPUTATION OF PUBLIC HEALTH INSURANCE% One or more public coverage items imputed,IMPUTATION OF PUBLIC HEALTH INSURANCE% No public coverage items imputed,IMPUTATION OF EMPLOYER-BASED HEALTH INSURANCE for Civilian noninstitutionalized population,IMPUTATION OF EMPLOYER-BASED HEALTH INSURANCE% Imputed,IMPUTATION OF EMPLOYER-BASED HEALTH INSURANCE% Not imputed,IMPUTATION OF DIRECT-PURCHASE HEALTH INSURANCE for Civilian noninstitutionalized population,IMPUTATION OF DIRECT-PURCHASE HEALTH INSURANCE% Imputed,IMPUTATION OF DIRECT-PURCHASE HEALTH INSURANCE% Not imputed,IMPUTATION OF MEDICARE COVERAGE for Civilian noninstitutionalized population,IMPUTATION OF MEDICARE COVERAGE% Imputed,IMPUTATION OF MEDICARE COVERAGE% Not imputed,IMPUTATION OF MEDICAID/MEANS-TESTED PUBLIC COVERAGE for Civilian noninstitutionalized population,IMPUTATION OF MEDICAID/MEANS-TESTED PUBLIC COVERAGE% Imputed,IMPUTATION OF MEDICAID/MEANS-TESTED PUBLIC COVERAGE% Not imputed,IMPUTATION OF TRICARE/MILITARY HEALTH COVERAGE for Civilian noninstitutionalized population,IMPUTATION OF TRICARE/MILITARY HEALTH COVERAGE% Imputed,IMPUTATION OF TRICARE/MILITARY HEALTH COVERAGE% Not imputed,IMPUTATION OF VA HEALTH CARE for Civilian noninstitutionalized population,IMPUTATION OF VA HEALTH CARE% Imputed,IMPUTATION OF VA HEALTH CARE% Not imputed,IMPUTATION OF HOUSEHOLD INTERNET ACCESS for Households,IMPUTATION OF HOUSEHOLD INTERNET ACCESS% Imputed,IMPUTATION OF HOUSEHOLD INTERNET ACCESS% Not imputed,IMPUTATION OF HOUSEHOLD COMPUTER TYPE for Households,IMPUTATION OF HOUSEHOLD COMPUTER TYPE%Imputed,IMPUTATION OF HOUSEHOLD COMPUTER TYPE%Not imputed,IMPUTATION OF HOUSEHOLD COMPUTER TYPE%Imputed,IMPUTATION OF HOUSEHOLD COMPUTER TYPE%Not imputed,IMPUTATION OF HOUSEHOLD COMPUTER TYPE%Imputed,IMPUTATION OF HOUSEHOLD COMPUTER TYPE%Not imputed,IMPUTATION OF HOUSEHOLD INTERNET SUBSCRIPTION TYPE for Households,IMPUTATION OF HOUSEHOLD INTERNET SUBSCRIPTION TYPE%Dial-up,IMPUTATION OF HOUSEHOLD INTERNET SUBSCRIPTION TYPE%DSL,"IMPUTATION OF HOUSEHOLD INTERNET SUBSCRIPTION TYPE%Cable modem, fiber-optic, satellite internet service and some other service",IMPUTATION OF HOUSEHOLD INTERNET SUBSCRIPTION TYPE%Mobile broadband,IMPUTATION OF HOUSEHOLD INTERNET SUBSCRIPTION TYPE%Not imputed,Geographic Identifier,Area Name
0,ACSSF,20140.0,dc,0,165,2,112492,85550,27484,58066,26942,7484,19458,112492,34968,77524,28806,1950,26856,306184,18097,288087,306184,11008,295176,306184,87322,218862,277378,6965,270413,306184,12694,293490,306184,7462,298722,647966,95028,552938,647966,89453,558513,647966,89670,558296,647966,70103,577863,647966,77079,570887,647966,69039,578927,647966,80245,567721,647966,83176,564790,647966,81879,566087,277378,6235,271143,277378,2885,274493,3374,274004,3737,273641,277378,6753,6753,6753,47799,227843,04001US11,District of Columbia -- Urban
1,ACSSF,20140.0,dc,0,165,3,112492,85550,27484,58066,26942,7484,19458,112492,34968,77524,28806,1950,26856,306184,18097,288087,306184,11008,295176,306184,87322,218862,277378,6965,270413,306184,12694,293490,306184,7462,298722,647966,95028,552938,647966,89453,558513,647966,89670,558296,647966,70103,577863,647966,77079,570887,647966,69039,578927,647966,80245,567721,647966,83176,564790,647966,81879,566087,277378,6235,271143,277378,2885,274493,3374,274004,3737,273641,277378,6753,6753,6753,47799,227843,040A0US11,District of Columbia -- In metropolitan or micropolitan statistical area
2,ACSSF,20140.0,dc,0,165,4,112492,85550,27484,58066,26942,7484,19458,112492,34968,77524,28806,1950,26856,306184,18097,288087,306184,11008,295176,306184,87322,218862,277378,6965,270413,306184,12694,293490,306184,7462,298722,647966,95028,552938,647966,89453,558513,647966,89670,558296,647966,70103,577863,647966,77079,570887,647966,69039,578927,647966,80245,567721,647966,83176,564790,647966,81879,566087,277378,6235,271143,277378,2885,274493,3374,274004,3737,273641,277378,6753,6753,6753,47799,227843,040C0US11,District of Columbia -- In metropolitan statistical area
3,ACSSF,20140.0,dc,0,165,5,112492,85550,27484,58066,26942,7484,19458,112492,34968,77524,28806,1950,26856,306184,18097,288087,306184,11008,295176,306184,87322,218862,277378,6965,270413,306184,12694,293490,306184,7462,298722,647966,95028,552938,647966,89453,558513,647966,89670,558296,647966,70103,577863,647966,77079,570887,647966,69039,578927,647966,80245,567721,647966,83176,564790,647966,81879,566087,277378,6235,271143,277378,2885,274493,3374,274004,3737,273641,277378,6753,6753,6753,47799,227843,040C1US11,District of Columbia -- In metropolitan statistical area -- in principal city
4,ACSSF,20140.0,dc,0,165,6,112492,85550,27484,58066,26942,7484,19458,112492,34968,77524,28806,1950,26856,306184,18097,288087,306184,11008,295176,306184,87322,218862,277378,6965,270413,306184,12694,293490,306184,7462,298722,647966,95028,552938,647966,89453,558513,647966,89670,558296,647966,70103,577863,647966,77079,570887,647966,69039,578927,647966,80245,567721,647966,83176,564790,647966,81879,566087,277378,6235,271143,277378,2885,274493,3374,274004,3737,273641,277378,6753,6753,6753,47799,227843,05000US11001,"District of Columbia, District of Columbia"
5,ACSSF,20140.0,dc,0,165,7,112492,85550,27484,58066,26942,7484,19458,112492,34968,77524,28806,1950,26856,306184,18097,288087,306184,11008,295176,306184,87322,218862,277378,6965,270413,306184,12694,293490,306184,7462,298722,647966,95028,552938,647966,89453,558513,647966,89670,558296,647966,70103,577863,647966,77079,570887,647966,69039,578927,647966,80245,567721,647966,83176,564790,647966,81879,566087,277378,6235,271143,277378,2885,274493,3374,274004,3737,273641,277378,6753,6753,6753,47799,227843,16000US1150000,"Washington city, District of Columbia"
6,ACSSF,20140.0,dc,0,165,8,112492,85550,27484,58066,26942,7484,19458,112492,34968,77524,28806,1950,26856,306184,18097,288087,306184,11008,295176,306184,87322,218862,277378,6965,270413,306184,12694,293490,306184,7462,298722,647966,95028,552938,647966,89453,558513,647966,89670,558296,647966,70103,577863,647966,77079,570887,647966,69039,578927,647966,80245,567721,647966,83176,564790,647966,81879,566087,277378,6235,271143,277378,2885,274493,3374,274004,3737,273641,277378,6753,6753,6753,47799,227843,31200US479001150000,"Washington city, DC; Washington-Arlington-Alexandria, DC-VA-MD-WV Metro Area"
7,ACSSF,20140.0,dc,0,165,9,112492,85550,27484,58066,26942,7484,19458,112492,34968,77524,28806,1950,26856,306184,18097,288087,306184,11008,295176,306184,87322,218862,277378,6965,270413,306184,12694,293490,306184,7462,298722,647966,95028,552938,647966,89453,558513,647966,89670,558296,647966,70103,577863,647966,77079,570887,647966,69039,578927,647966,80245,567721,647966,83176,564790,647966,81879,566087,277378,6235,271143,277378,2885,274493,3374,274004,3737,273641,277378,6753,6753,6753,47799,227843,50000US1198,"Delegate District (at Large) (114th Congress), District of Columbia"
8,ACSSF,20140.0,dc,0,165,10,24752,18580,6031,12549,6172,1466,4706,24752,7497,17255,4771,370,4401,51411,2661,48750,51411,1770,49641,51411,6265,45146,46640,902,45738,51411,2157,49254,51411,1280,50131,110270,18382,91888,110270,17410,92860,110270,17225,93045,110270,11937,98333,110270,14349,95921,110270,11616,98654,110270,16021,94249,110270,16714,93556,110270,16459,93811,46640,1032,45608,46640,222,46418,222,46418,356,46284,46640,1689,1689,1689,13139,32956,79500US1100101,"District of Columbia (West) PUMA, District of Columbia"
9,ACSSF,20140.0,dc,0,165,11,22532,17277,5594,11683,5255,1426,3829,22532,7020,15512,3564,332,3232,51350,2736,48614,51350,2552,48798,51350,9190,42160,47786,1882,45904,51350,1760,49590,51350,1039,50311,125648,16878,108770,125648,15390,110258,125648,16171,109477,125648,12578,113070,125648,13501,112147,125648,12994,112654,125648,14551,111097,125648,14390,111258,125648,14196,111452,47786,1303,46483,47786,775,47011,836,46950,874,46912,47786,1290,1290,1290,6827,40420,79500US1100102,"District of Columbia (North) PUMA, District of Columbia"
