,FILEID,FILETYPE,STUSAB,CHARITER,SEQUENCE,LOGRECNO,IMPUTATION OF SEX for Total population,IMPUTATION OF SEX% Imputed,IMPUTATION OF SEX% Not imputed,IMPUTATION OF AGE for Total population,IMPUTATION OF AGE% Imputed,IMPUTATION OF AGE% Not imputed,IMPUTATION OF RACE for Total population,IMPUTATION OF RACE% Imputed,IMPUTATION OF RACE% Not imputed,IMPUTATION OF HISPANIC OR LATINO ORIGIN for Total population,IMPUTATION OF HISPANIC OR LATINO ORIGIN% Imputed,IMPUTATION OF HISPANIC OR LATINO ORIGIN% Not imputed,IMPUTATION OF CITIZENSHIP STATUS for Total population,IMPUTATION OF CITIZENSHIP STATUS% Native:,IMPUTATION OF CITIZENSHIP STATUS% Native:% Imputed,IMPUTATION OF CITIZENSHIP STATUS% Native:% Not imputed,IMPUTATION OF CITIZENSHIP STATUS% Foreign born:,IMPUTATION OF CITIZENSHIP STATUS% Foreign born:% Imputed,IMPUTATION OF CITIZENSHIP STATUS% Foreign born:% Not imputed,IMPUTATION OF YEAR OF ENTRY for Population born outside the United States,IMPUTATION OF YEAR OF ENTRY% Native:,IMPUTATION OF YEAR OF ENTRY% Native:% Imputed,IMPUTATION OF YEAR OF ENTRY% Native:% Not imputed,IMPUTATION OF YEAR OF ENTRY% Foreign born:,IMPUTATION OF YEAR OF ENTRY% Foreign born:% Imputed,IMPUTATION OF YEAR OF ENTRY% Foreign born:% Not imputed,IMPUTATION OF YEAR OF ENTRY FOR POPULATION BORN OUTSIDE PUERTO RICO for Population born outside Puerto Rico,IMPUTATION OF YEAR OF ENTRY FOR POPULATION BORN OUTSIDE PUERTO RICO% Native:,IMPUTATION OF YEAR OF ENTRY FOR POPULATION BORN OUTSIDE PUERTO RICO% Native:% Imputed,IMPUTATION OF YEAR OF ENTRY FOR POPULATION BORN OUTSIDE PUERTO RICO% Native:% Not imputed,IMPUTATION OF YEAR OF ENTRY FOR POPULATION BORN OUTSIDE PUERTO RICO% Foreign born:,IMPUTATION OF YEAR OF ENTRY FOR POPULATION BORN OUTSIDE PUERTO RICO% Foreign born:% Imputed,IMPUTATION OF YEAR OF ENTRY FOR POPULATION BORN OUTSIDE PUERTO RICO% Foreign born:% Not imputed,IMPUTATION OF YEAR OF NATURALIZATION for Foreign-born naturalized citizens,IMPUTATION OF YEAR OF NATURALIZATION% Imputed,IMPUTATION OF YEAR OF NATURALIZATION% Not imputed,IMPUTATION OF PLACE OF BIRTH for Total population,IMPUTATION OF PLACE OF BIRTH% Imputed,IMPUTATION OF PLACE OF BIRTH% Not imputed,IMPUTATION OF MOBILITY STATUS for POPULATION 1 YEAR AND OVER for Population 1 year and over,IMPUTATION OF MOBILITY STATUS for POPULATION 1 YEAR AND OVER% Imputed,IMPUTATION OF MOBILITY STATUS for POPULATION 1 YEAR AND OVER% Not imputed,IMPUTATION OF RESIDENCE 1 YEAR AGO for POPULATION 1 YEAR AND OVER for Population 1 year and over,IMPUTATION OF RESIDENCE 1 YEAR AGO for POPULATION 1 YEAR AND OVER% Different house:,IMPUTATION OF RESIDENCE 1 YEAR AGO for POPULATION 1 YEAR AND OVER% Different house:% Imputed:,IMPUTATION OF RESIDENCE 1 YEAR AGO for POPULATION 1 YEAR AND OVER% Different house:% Imputed:% One or more but not all geographic parts imputed,IMPUTATION OF RESIDENCE 1 YEAR AGO for POPULATION 1 YEAR AND OVER% Different house:% Imputed:% All geographic parts imputed,IMPUTATION OF RESIDENCE 1 YEAR AGO for POPULATION 1 YEAR AND OVER% Different house:% Not imputed,IMPUTATION OF RESIDENCE 1 YEAR AGO for POPULATION 1 YEAR AND OVER% Same house,IMPUTATION OF MEANS OF TRANSPORTATION TO WORK for Workers 16 years and over,IMPUTATION OF MEANS OF TRANSPORTATION TO WORK% Imputed,IMPUTATION OF MEANS OF TRANSPORTATION TO WORK% Not imputed,IMPUTATION OF PLACE OF WORK for Workers 16 years and over,IMPUTATION OF PLACE OF WORK% Imputed:,IMPUTATION OF PLACE OF WORK% Imputed:% One or more but not all geographic parts imputed,IMPUTATION OF PLACE OF WORK% Imputed:% All geographic parts imputed,IMPUTATION OF PLACE OF WORK% Not imputed,IMPUTATION OF PRIVATE VEHICLE OCCUPANCY for Workers 16 years and over,"IMPUTATION OF PRIVATE VEHICLE OCCUPANCY% Car, truck, or van:","IMPUTATION OF PRIVATE VEHICLE OCCUPANCY% Car, truck, or van:% Imputed","IMPUTATION OF PRIVATE VEHICLE OCCUPANCY% Car, truck, or van:% Not imputed",IMPUTATION OF PRIVATE VEHICLE OCCUPANCY% Other means (including those who worked at home),IMPUTATION OF TIME LEAVING HOME TO GO TO WORK for Workers 16 years and over,IMPUTATION OF TIME LEAVING HOME TO GO TO WORK% Did not work at home:,IMPUTATION OF TIME LEAVING HOME TO GO TO WORK% Did not work at home:% Time leaving home to go to work --% Imputed,IMPUTATION OF TIME LEAVING HOME TO GO TO WORK% Did not work at home:% Time leaving home to go to work --% Not imputed,IMPUTATION OF TIME LEAVING HOME TO GO TO WORK% Worked at home,IMPUTATION OF TRAVEL TIME TO WORK for Workers 16 years and over,IMPUTATION OF TRAVEL TIME TO WORK% Did not work at home:,IMPUTATION OF TRAVEL TIME TO WORK% Did not work at home:% Travel time to work --% Imputed,IMPUTATION OF TRAVEL TIME TO WORK% Did not work at home:% Travel time to work --% Not imputed,IMPUTATION OF TRAVEL TIME TO WORK% Worked at home,IMPUTATION OF VEHICLES AVAILABLE FOR WORKERS for Workers 16 years and over in households,IMPUTATION OF VEHICLES AVAILABLE FOR WORKERS% Imputed,IMPUTATION OF VEHICLES AVAILABLE FOR WORKERS% Not imputed,Geographic Identifier,Area Name
0,ACSSF,20140.0,dc,0,162,2,658893,485,658408,658893,16402,642491,658893,9259,649634,658893,16417,642476,658893,566944,39044,527900,91949,7359,84590,104123,12174,2816,9358,91949,13712,78237,,,,,,,,35515,7329,28186,658893,82112,576781,648586,50547,598039,648586,134952,23066,3118,19948,111886,513634,343062,43201,299861,343062,52623,2644,49979,290439,343062,139694,18902,120792,203368,343062,326050,64996,261054,17012,343062,326050,55593,270457,17012,332669,2739,329930,04001US11,District of Columbia -- Urban
1,ACSSF,20140.0,dc,0,162,3,658893,485,658408,658893,16402,642491,658893,9259,649634,658893,16417,642476,658893,566944,39044,527900,91949,7359,84590,104123,12174,2816,9358,91949,13712,78237,,,,,,,,35515,7329,28186,658893,82112,576781,648586,50547,598039,648586,134952,23066,3118,19948,111886,513634,343062,43201,299861,343062,52623,2644,49979,290439,343062,139694,18902,120792,203368,343062,326050,64996,261054,17012,343062,326050,55593,270457,17012,332669,2739,329930,040A0US11,District of Columbia -- In metropolitan or micropolitan statistical area
2,ACSSF,20140.0,dc,0,162,4,658893,485,658408,658893,16402,642491,658893,9259,649634,658893,16417,642476,658893,566944,39044,527900,91949,7359,84590,104123,12174,2816,9358,91949,13712,78237,,,,,,,,35515,7329,28186,658893,82112,576781,648586,50547,598039,648586,134952,23066,3118,19948,111886,513634,343062,43201,299861,343062,52623,2644,49979,290439,343062,139694,18902,120792,203368,343062,326050,64996,261054,17012,343062,326050,55593,270457,17012,332669,2739,329930,040C0US11,District of Columbia -- In metropolitan statistical area
3,ACSSF,20140.0,dc,0,162,5,658893,485,658408,658893,16402,642491,658893,9259,649634,658893,16417,642476,658893,566944,39044,527900,91949,7359,84590,104123,12174,2816,9358,91949,13712,78237,,,,,,,,35515,7329,28186,658893,82112,576781,648586,50547,598039,648586,134952,23066,3118,19948,111886,513634,343062,43201,299861,343062,52623,2644,49979,290439,343062,139694,18902,120792,203368,343062,326050,64996,261054,17012,343062,326050,55593,270457,17012,332669,2739,329930,040C1US11,District of Columbia -- In metropolitan statistical area -- in principal city
4,ACSSF,20140.0,dc,0,162,6,658893,485,658408,658893,16402,642491,658893,9259,649634,658893,16417,642476,658893,566944,39044,527900,91949,7359,84590,104123,12174,2816,9358,91949,13712,78237,,,,,,,,35515,7329,28186,658893,82112,576781,648586,50547,598039,648586,134952,23066,3118,19948,111886,513634,343062,43201,299861,343062,52623,2644,49979,290439,343062,139694,18902,120792,203368,343062,326050,64996,261054,17012,343062,326050,55593,270457,17012,332669,2739,329930,05000US11001,"District of Columbia, District of Columbia"
5,ACSSF,20140.0,dc,0,162,7,658893,485,658408,658893,16402,642491,658893,9259,649634,658893,16417,642476,658893,566944,39044,527900,91949,7359,84590,104123,12174,2816,9358,91949,13712,78237,,,,,,,,35515,7329,28186,658893,82112,576781,648586,50547,598039,648586,134952,23066,3118,19948,111886,513634,343062,43201,299861,343062,52623,2644,49979,290439,343062,139694,18902,120792,203368,343062,326050,64996,261054,17012,343062,326050,55593,270457,17012,332669,2739,329930,16000US1150000,"Washington city, District of Columbia"
6,ACSSF,20140.0,dc,0,162,8,658893,485,658408,658893,16402,642491,658893,9259,649634,658893,16417,642476,658893,566944,39044,527900,91949,7359,84590,104123,12174,2816,9358,91949,13712,78237,,,,,,,,35515,7329,28186,658893,82112,576781,648586,50547,598039,648586,134952,23066,3118,19948,111886,513634,343062,43201,299861,343062,52623,2644,49979,290439,343062,139694,18902,120792,203368,343062,326050,64996,261054,17012,343062,326050,55593,270457,17012,332669,2739,329930,31200US479001150000,"Washington city, DC; Washington-Arlington-Alexandria, DC-VA-MD-WV Metro Area"
7,ACSSF,20140.0,dc,0,162,9,658893,485,658408,658893,16402,642491,658893,9259,649634,658893,16417,642476,658893,566944,39044,527900,91949,7359,84590,104123,12174,2816,9358,91949,13712,78237,,,,,,,,35515,7329,28186,658893,82112,576781,648586,50547,598039,648586,134952,23066,3118,19948,111886,513634,343062,43201,299861,343062,52623,2644,49979,290439,343062,139694,18902,120792,203368,343062,326050,64996,261054,17012,343062,326050,55593,270457,17012,332669,2739,329930,50000US1198,"Delegate District (at Large) (114th Congress), District of Columbia"
8,ACSSF,20140.0,dc,0,162,10,110997,127,110870,110997,1850,109147,110997,734,110263,110997,847,110150,110997,91081,5242,85839,19916,1577,18339,22993,3077,441,2636,19916,2076,17840,,,,,,,,7927,1203,6724,110997,10976,100021,109505,7530,101975,109505,29056,5462,577,4885,23594,80449,61533,6043,55490,61533,6659,52,6607,54874,61533,27775,3526,24249,33758,61533,56140,9387,46753,5393,61533,56140,7593,48547,5393,58265,221,58044,79500US1100101,"District of Columbia (West) PUMA, District of Columbia"
9,ACSSF,20140.0,dc,0,162,11,126768,53,126715,126768,4155,122613,126768,2748,124020,126768,4190,122578,126768,93310,5998,87312,33458,3397,30061,35954,2496,1119,1377,33458,7580,25878,,,,,,,,10495,3071,7424,126768,24903,101865,124884,10409,114475,124884,18642,2547,155,2392,16095,106242,68752,7819,60933,68752,10286,1330,8956,58466,68752,31385,3725,27660,37367,68752,66707,13698,53009,2045,68752,66707,12034,54673,2045,67967,891,67076,79500US1100102,"District of Columbia (North) PUMA, District of Columbia"
10,ACSSF,20140.0,dc,0,162,12,108785,124,108661,108785,3375,105410,108785,1203,107582,108785,3192,105593,108785,100853,7243,93610,7932,511,7421,9167,1235,216,1019,7932,971,6961,,,,,,,,4192,883,3309,108785,12201,96584,106799,9078,97721,106799,20074,3894,483,3411,16180,86725,55855,6982,48873,55855,9199,284,8915,46656,55855,22010,2715,19295,33845,55855,51947,9718,42229,3908,55855,51947,8042,43905,3908,54387,369,54018,79500US1100103,"District of Columbia (Northeast) PUMA, District of Columbia"
