,FILEID,FILETYPE,STUSAB,CHARITER,SEQUENCE,LOGRECNO,Owner-occupied housing units,Owner-occupied housing units%Housing units with a mortgage:,Owner-occupied housing units%Housing units with a mortgage:%One or more items imputed,Owner-occupied housing units%Housing units with a mortgage:%No items imputed,Owner-occupied housing units%Housing units without a mortgage:,Owner-occupied housing units%Housing units without a mortgage:%One or more items imputed,Owner-occupied housing units%Housing units without a mortgage:%No items imputed,Owner-occupied housing units,Owner-occupied housing units%1 or more items imputed,Owner-occupied housing units%Not imputed,Vacant housing units,Vacant housing units%Imputed,Vacant housing units%Not imputed,Housing units,Housing units%Imputed,Housing units%Not imputed,Housing units,Housing units%Imputed,Housing units%Not imputed,Housing units,Housing units%Imputed,Housing units%Not imputed,Occupied housing units,Occupied housing units%Imputed,Occupied housing units%Not imputed,Housing units,Housing units%Imputed,Housing units%Not imputed,Housing units,Housing units%Imputed,Housing units%Not imputed,Civilian noninstitutionalized population,Civilian noninstitutionalized population%One or more health insurance items imputed,Civilian noninstitutionalized population%No health insurance items imputed,Civilian noninstitutionalized population,Civilian noninstitutionalized population%One or more private health insurance items imputed,Civilian noninstitutionalized population%No private health insurance items imputed,Civilian noninstitutionalized population,Civilian noninstitutionalized population%One or more public coverage items imputed,Civilian noninstitutionalized population%No public coverage items imputed,Civilian noninstitutionalized population,Civilian noninstitutionalized population%Imputed,Civilian noninstitutionalized population%Not imputed,Civilian noninstitutionalized population,Civilian noninstitutionalized population%Imputed,Civilian noninstitutionalized population%Not imputed,Civilian noninstitutionalized population,Civilian noninstitutionalized population%Imputed,Civilian noninstitutionalized population%Not imputed,Civilian noninstitutionalized population,Civilian noninstitutionalized population%Imputed,Civilian noninstitutionalized population%Not imputed,Civilian noninstitutionalized population,Civilian noninstitutionalized population%Imputed,Civilian noninstitutionalized population%Not imputed,Civilian noninstitutionalized population,Civilian noninstitutionalized population%Imputed,Civilian noninstitutionalized population%Not imputed,Geographic Identifier,Area Name
0,ACSSF,20110.0,dc,0,178,2,110625,87297,34783,52514,23328,5968,17360,110625,40751,69874,30238,1351,28887,298908,17673,281235,298908,9762,289146,298908,83608,215300,268670,13278,255392,298908,14055,284853,298908,2963,295945,608165,71927,536238,608165,68844,539321,608165,66519,541646,608165,49891,558274,608165,56002,552163,608165,42878,565287,608165,59068,549097,608165,59749,548416,608165,59136,549029,04001US11,District of Columbia -- Urban
1,ACSSF,20110.0,dc,0,178,3,110625,87297,34783,52514,23328,5968,17360,110625,40751,69874,30238,1351,28887,298908,17673,281235,298908,9762,289146,298908,83608,215300,268670,13278,255392,298908,14055,284853,298908,2963,295945,608165,71927,536238,608165,68844,539321,608165,66519,541646,608165,49891,558274,608165,56002,552163,608165,42878,565287,608165,59068,549097,608165,59749,548416,608165,59136,549029,040A0US11,District of Columbia -- In metropolitan or micropolitan statistical area
2,ACSSF,20110.0,dc,0,178,4,110625,87297,34783,52514,23328,5968,17360,110625,40751,69874,30238,1351,28887,298908,17673,281235,298908,9762,289146,298908,83608,215300,268670,13278,255392,298908,14055,284853,298908,2963,295945,608165,71927,536238,608165,68844,539321,608165,66519,541646,608165,49891,558274,608165,56002,552163,608165,42878,565287,608165,59068,549097,608165,59749,548416,608165,59136,549029,040C0US11,District of Columbia -- In metropolitan statistical area
3,ACSSF,20110.0,dc,0,178,5,110625,87297,34783,52514,23328,5968,17360,110625,40751,69874,30238,1351,28887,298908,17673,281235,298908,9762,289146,298908,83608,215300,268670,13278,255392,298908,14055,284853,298908,2963,295945,608165,71927,536238,608165,68844,539321,608165,66519,541646,608165,49891,558274,608165,56002,552163,608165,42878,565287,608165,59068,549097,608165,59749,548416,608165,59136,549029,040C1US11,District of Columbia -- In metropolitan statistical area -- in principal city
4,ACSSF,20110.0,dc,0,178,6,110625,87297,34783,52514,23328,5968,17360,110625,40751,69874,30238,1351,28887,298908,17673,281235,298908,9762,289146,298908,83608,215300,268670,13278,255392,298908,14055,284853,298908,2963,295945,608165,71927,536238,608165,68844,539321,608165,66519,541646,608165,49891,558274,608165,56002,552163,608165,42878,565287,608165,59068,549097,608165,59749,548416,608165,59136,549029,05000US11001,"District of Columbia, District of Columbia"
5,ACSSF,20110.0,dc,0,178,7,110625,87297,34783,52514,23328,5968,17360,110625,40751,69874,30238,1351,28887,298908,17673,281235,298908,9762,289146,298908,83608,215300,268670,13278,255392,298908,14055,284853,298908,2963,295945,608165,71927,536238,608165,68844,539321,608165,66519,541646,608165,49891,558274,608165,56002,552163,608165,42878,565287,608165,59068,549097,608165,59749,548416,608165,59136,549029,16000US1150000,"Washington city, District of Columbia"
6,ACSSF,20110.0,dc,0,178,8,110625,87297,34783,52514,23328,5968,17360,110625,40751,69874,30238,1351,28887,298908,17673,281235,298908,9762,289146,298908,83608,215300,268670,13278,255392,298908,14055,284853,298908,2963,295945,608165,71927,536238,608165,68844,539321,608165,66519,541646,608165,49891,558274,608165,56002,552163,608165,42878,565287,608165,59068,549097,608165,59749,548416,608165,59136,549029,31200US479001150000,"Washington city, DC; Washington-Arlington-Alexandria, DC-VA-MD-WV Metro Area"
7,ACSSF,20110.0,dc,0,178,9,110625,87297,34783,52514,23328,5968,17360,110625,40751,69874,30238,1351,28887,298908,17673,281235,298908,9762,289146,298908,83608,215300,268670,13278,255392,298908,14055,284853,298908,2963,295945,608165,71927,536238,608165,68844,539321,608165,66519,541646,608165,49891,558274,608165,56002,552163,608165,42878,565287,608165,59068,549097,608165,59749,548416,608165,59136,549029,50000US1198,"Delegate District (at Large) (112th Congress), District of Columbia"
8,ACSSF,20110.0,dc,0,178,10,25369,19362,9085,10277,6007,1563,4444,25369,10648,14721,4345,187,4158,52149,1798,50351,52149,2075,50074,52149,6596,45553,47804,1626,46178,52149,2277,49872,52149,334,51815,107011,16228,90783,107011,15742,91269,107011,15326,91685,107011,10407,96604,107011,12508,94503,107011,9548,97463,107011,14658,92353,107011,14176,92835,107011,14786,92225,79500US1100101,"PUMA5 00101, District of Columbia"
9,ACSSF,20110.0,dc,0,178,11,20578,16745,7265,9480,3833,1103,2730,20578,8368,12210,4794,0,4794,50058,2277,47781,50058,1108,48950,50058,11951,38107,45264,3334,41930,50058,1705,48353,50058,236,49822,112797,16065,96732,112797,15343,97454,112797,15034,97763,112797,12258,100539,112797,12968,99829,112797,9992,102805,112797,13357,99440,112797,13245,99552,112797,12689,100108,79500US1100102,"PUMA5 00102, District of Columbia"
