,FILEID,FILETYPE,STUSAB,CHARITER,SEQUENCE,LOGRECNO,Total population,Total population% Not Hispanic or Latino,Total population% Hispanic or Latino:,Total population% Hispanic or Latino:% Mexican,Total population% Hispanic or Latino:% Puerto Rican,Total population% Hispanic or Latino:% Cuban,Total population% Hispanic or Latino:% Dominican (Dominican Republic),Total population% Hispanic or Latino:% Central American:,Total population% Hispanic or Latino:% Central American:% Costa Rican,Total population% Hispanic or Latino:% Central American:% Guatemalan,Total population% Hispanic or Latino:% Central American:% Honduran,Total population% Hispanic or Latino:% Central American:% Nicaraguan,Total population% Hispanic or Latino:% Central American:% Panamanian,Total population% Hispanic or Latino:% Central American:% Salvadoran,Total population% Hispanic or Latino:% Central American:% Other Central American,Total population% Hispanic or Latino:% South American:,Total population% Hispanic or Latino:% South American:% Argentinean,Total population% Hispanic or Latino:% South American:% Bolivian,Total population% Hispanic or Latino:% South American:% Chilean,Total population% Hispanic or Latino:% South American:% Colombian,Total population% Hispanic or Latino:% South American:% Ecuadorian,Total population% Hispanic or Latino:% South American:% Paraguayan,Total population% Hispanic or Latino:% South American:% Peruvian,Total population% Hispanic or Latino:% South American:% Uruguayan,Total population% Hispanic or Latino:% South American:% Venezuelan,Total population% Hispanic or Latino:% South American:% Other South American,Total population% Hispanic or Latino:% Other Hispanic or Latino:,Total population% Hispanic or Latino:% Other Hispanic or Latino:% Spaniard,Total population% Hispanic or Latino:% Other Hispanic or Latino:% Spanish,Total population% Hispanic or Latino:% Other Hispanic or Latino:% Spanish American,Total population% Hispanic or Latino:% Other Hispanic or Latino:% All other Hispanic or Latino,Total population,Total population% Not Hispanic or Latino:,Total population% Not Hispanic or Latino:% White alone,Total population% Not Hispanic or Latino:% Black or African American alone,Total population% Not Hispanic or Latino:% American Indian and Alaska Native alone,Total population% Not Hispanic or Latino:% Asian alone,Total population% Not Hispanic or Latino:% Native Hawaiian and Other Pacific Islander alone,Total population% Not Hispanic or Latino:% Some other race alone,Total population% Not Hispanic or Latino:% Two or more races:,Total population% Not Hispanic or Latino:% Two or more races:% Two races including Some other race,"Total population% Not Hispanic or Latino:% Two or more races:% Two races excluding Some other race, and three or more races",Total population% Hispanic or Latino:,Total population% Hispanic or Latino:% White alone,Total population% Hispanic or Latino:% Black or African American alone,Total population% Hispanic or Latino:% American Indian and Alaska Native alone,Total population% Hispanic or Latino:% Asian alone,Total population% Hispanic or Latino:% Native Hawaiian and Other Pacific Islander alone,Total population% Hispanic or Latino:% Some other race alone,Total population% Hispanic or Latino:% Two or more races:,Total population% Hispanic or Latino:% Two or more races:% Two races including Some other race,"Total population% Hispanic or Latino:% Two or more races:% Two races excluding Some other race, and three or more races",Total population,Total population% Not Hispanic or Latino,Total population% Hispanic or Latino,Total population,Total population% Not Hispanic or Latino,Total population% Hispanic or Latino:,Total population% Hispanic or Latino:% Mexican,Total population% Hispanic or Latino:% Puerto Rican,Total population% Hispanic or Latino:% Cuban,Total population% Hispanic or Latino:% Dominican (Dominican Republic),Total population% Hispanic or Latino:% Central American,Total population% Hispanic or Latino:% South American,Total population% Hispanic or Latino:% Other Hispanic or Latino,Total population,Total population% Not Hispanic or Latino:,Total population% Not Hispanic or Latino:% White alone,Total population% Not Hispanic or Latino:% Black or African American alone,Total population% Not Hispanic or Latino:% American Indian and Alaska Native alone,Total population% Not Hispanic or Latino:% Asian alone,Total population% Not Hispanic or Latino:% Native Hawaiian and Other Pacific Islander alone,Total population% Not Hispanic or Latino:% Some other race alone,Total population% Not Hispanic or Latino:% Two or more races:,Total population% Not Hispanic or Latino:% Two or more races:% Two races including Some other race,"Total population% Not Hispanic or Latino:% Two or more races:% Two races excluding Some other race, and three or more races",Total population% Hispanic or Latino,Geographic Identifier,Area Name
0,ACSSF,20100.0,dc,0,16,2,604453.0,549197.0,55256.0,9353.0,3864.0,2134.0,2649.0,26839.0,397.0,1785.0,3084.0,1772.0,689.0,19112.0,0.0,7991.0,1080.0,1623.0,701.0,1045.0,341.0,149.0,2232.0,255.0,565.0,0.0,2426.0,819.0,334.0,0.0,1273.0,604453.0,549197.0,210100.0,304968.0,1304.0,21552.0,233.0,901.0,10139.0,1016.0,9123.0,55256.0,32805.0,4253.0,623.0,0.0,0.0,15924.0,1651.0,871.0,780.0,604453,549197,55256,604453.0,549197.0,55256.0,9353.0,3864.0,2134.0,2649.0,26839.0,7991.0,2426.0,604453,549197,210100,304968,1304,21552,233,901,10139,1016,9123,55256,04001US11,District of Columbia -- Urban
1,ACSSF,20100.0,dc,0,16,3,604453.0,549197.0,55256.0,9353.0,3864.0,2134.0,2649.0,26839.0,397.0,1785.0,3084.0,1772.0,689.0,19112.0,0.0,7991.0,1080.0,1623.0,701.0,1045.0,341.0,149.0,2232.0,255.0,565.0,0.0,2426.0,819.0,334.0,0.0,1273.0,604453.0,549197.0,210100.0,304968.0,1304.0,21552.0,233.0,901.0,10139.0,1016.0,9123.0,55256.0,32805.0,4253.0,623.0,0.0,0.0,15924.0,1651.0,871.0,780.0,604453,549197,55256,604453.0,549197.0,55256.0,9353.0,3864.0,2134.0,2649.0,26839.0,7991.0,2426.0,604453,549197,210100,304968,1304,21552,233,901,10139,1016,9123,55256,040A0US11,District of Columbia -- In metropolitan or micropolitan statistical area
2,ACSSF,20100.0,dc,0,16,4,604453.0,549197.0,55256.0,9353.0,3864.0,2134.0,2649.0,26839.0,397.0,1785.0,3084.0,1772.0,689.0,19112.0,0.0,7991.0,1080.0,1623.0,701.0,1045.0,341.0,149.0,2232.0,255.0,565.0,0.0,2426.0,819.0,334.0,0.0,1273.0,604453.0,549197.0,210100.0,304968.0,1304.0,21552.0,233.0,901.0,10139.0,1016.0,9123.0,55256.0,32805.0,4253.0,623.0,0.0,0.0,15924.0,1651.0,871.0,780.0,604453,549197,55256,604453.0,549197.0,55256.0,9353.0,3864.0,2134.0,2649.0,26839.0,7991.0,2426.0,604453,549197,210100,304968,1304,21552,233,901,10139,1016,9123,55256,040C0US11,District of Columbia -- In metropolitan statistical area
3,ACSSF,20100.0,dc,0,16,5,604453.0,549197.0,55256.0,9353.0,3864.0,2134.0,2649.0,26839.0,397.0,1785.0,3084.0,1772.0,689.0,19112.0,0.0,7991.0,1080.0,1623.0,701.0,1045.0,341.0,149.0,2232.0,255.0,565.0,0.0,2426.0,819.0,334.0,0.0,1273.0,604453.0,549197.0,210100.0,304968.0,1304.0,21552.0,233.0,901.0,10139.0,1016.0,9123.0,55256.0,32805.0,4253.0,623.0,0.0,0.0,15924.0,1651.0,871.0,780.0,604453,549197,55256,604453.0,549197.0,55256.0,9353.0,3864.0,2134.0,2649.0,26839.0,7991.0,2426.0,604453,549197,210100,304968,1304,21552,233,901,10139,1016,9123,55256,040C1US11,District of Columbia -- In metropolitan statistical area -- in principal city
4,ACSSF,20100.0,dc,0,16,6,604453.0,549197.0,55256.0,9353.0,3864.0,2134.0,2649.0,26839.0,397.0,1785.0,3084.0,1772.0,689.0,19112.0,0.0,7991.0,1080.0,1623.0,701.0,1045.0,341.0,149.0,2232.0,255.0,565.0,0.0,2426.0,819.0,334.0,0.0,1273.0,604453.0,549197.0,210100.0,304968.0,1304.0,21552.0,233.0,901.0,10139.0,1016.0,9123.0,55256.0,32805.0,4253.0,623.0,0.0,0.0,15924.0,1651.0,871.0,780.0,604453,549197,55256,604453.0,549197.0,55256.0,9353.0,3864.0,2134.0,2649.0,26839.0,7991.0,2426.0,604453,549197,210100,304968,1304,21552,233,901,10139,1016,9123,55256,05000US11001,"District of Columbia, District of Columbia"
5,ACSSF,20100.0,dc,0,16,7,604453.0,549197.0,55256.0,9353.0,3864.0,2134.0,2649.0,26839.0,397.0,1785.0,3084.0,1772.0,689.0,19112.0,0.0,7991.0,1080.0,1623.0,701.0,1045.0,341.0,149.0,2232.0,255.0,565.0,0.0,2426.0,819.0,334.0,0.0,1273.0,604453.0,549197.0,210100.0,304968.0,1304.0,21552.0,233.0,901.0,10139.0,1016.0,9123.0,55256.0,32805.0,4253.0,623.0,0.0,0.0,15924.0,1651.0,871.0,780.0,604453,549197,55256,604453.0,549197.0,55256.0,9353.0,3864.0,2134.0,2649.0,26839.0,7991.0,2426.0,604453,549197,210100,304968,1304,21552,233,901,10139,1016,9123,55256,16000US1150000,"Washington city, District of Columbia"
6,ACSSF,20100.0,dc,0,16,8,604453.0,549197.0,55256.0,9353.0,3864.0,2134.0,2649.0,26839.0,397.0,1785.0,3084.0,1772.0,689.0,19112.0,0.0,7991.0,1080.0,1623.0,701.0,1045.0,341.0,149.0,2232.0,255.0,565.0,0.0,2426.0,819.0,334.0,0.0,1273.0,604453.0,549197.0,210100.0,304968.0,1304.0,21552.0,233.0,901.0,10139.0,1016.0,9123.0,55256.0,32805.0,4253.0,623.0,0.0,0.0,15924.0,1651.0,871.0,780.0,604453,549197,55256,604453.0,549197.0,55256.0,9353.0,3864.0,2134.0,2649.0,26839.0,7991.0,2426.0,604453,549197,210100,304968,1304,21552,233,901,10139,1016,9123,55256,31200US479001150000,"Washington city, DC; Washington-Arlington-Alexandria, DC-VA-MD-WV Metro Area"
7,ACSSF,20100.0,dc,0,16,9,604453.0,549197.0,55256.0,9353.0,3864.0,2134.0,2649.0,26839.0,397.0,1785.0,3084.0,1772.0,689.0,19112.0,0.0,7991.0,1080.0,1623.0,701.0,1045.0,341.0,149.0,2232.0,255.0,565.0,0.0,2426.0,819.0,334.0,0.0,1273.0,604453.0,549197.0,210100.0,304968.0,1304.0,21552.0,233.0,901.0,10139.0,1016.0,9123.0,55256.0,32805.0,4253.0,623.0,0.0,0.0,15924.0,1651.0,871.0,780.0,604453,549197,55256,604453.0,549197.0,55256.0,9353.0,3864.0,2134.0,2649.0,26839.0,7991.0,2426.0,604453,549197,210100,304968,1304,21552,233,901,10139,1016,9123,55256,50000US1198,"Delegate District (at Large) (111th Congress), District of Columbia"
8,ACSSF,20100.0,dc,0,16,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,109673,101817,7856,109673.0,101817.0,7856.0,1211.0,880.0,988.0,0.0,2020.0,2323.0,434.0,109673,101817,87034,5330,136,6737,62,184,2334,61,2273,7856,79500US1100101,"PUMA5 00101, District of Columbia"
9,ACSSF,20100.0,dc,0,16,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,117253,92033,25220,117253.0,92033.0,25220.0,2345.0,1713.0,383.0,1391.0,16908.0,1860.0,620.0,117253,92033,25335,62251,147,2390,44,271,1595,172,1423,25220,79500US1100102,"PUMA5 00102, District of Columbia"
