,FILEID,FILETYPE,STUSAB,CHARITER,SEQUENCE,LOGRECNO,Total:,Native,Foreign born:,Naturalized U.S. citizen,Not a U.S. citizen,Same house 1 year ago:,Native,Foreign born:,Naturalized U.S. citizen,Not a U.S. citizen,Moved within same municipio:,Native,Foreign born:,Naturalized U.S. citizen,Not a U.S. citizen,Moved from different municipio:,Native,Foreign born:,Naturalized U.S. citizen,Not a U.S. citizen,Moved from the United States:,Native,Foreign born:,Naturalized U.S. citizen,Not a U.S. citizen,Moved from elsewhere:,Native,Foreign born:,Naturalized U.S. citizen,Not a U.S. citizen,Total:,Never married,"Now married, except separated",Divorced,Separated,Widowed,Same house 1 year ago:,Never married,"Now married, except separated",Divorced,Separated,Widowed,Moved within same municipio:,Never married,"Now married, except separated",Divorced,Separated,Widowed,Moved from different municipio:,Never married,"Now married, except separated",Divorced,Separated,Widowed,Moved from the United States:,Never married,"Now married, except separated",Divorced,Separated,Widowed,Moved from elsewhere:,Never married,"Now married, except separated",Divorced,Separated,Widowed,Total:,Less than high school graduate,High school graduate (includes equivalency),Some college or associate's degree,Bachelor's degree,Graduate or professional degree,Same house 1 year ago:,Less than high school graduate,High school graduate (includes equivalency),Some college or associate's degree,Bachelor's degree,Graduate or professional degree,Moved within same municipio:,Less than high school graduate,High school graduate (includes equivalency),Some college or associate's degree,Bachelor's degree,Graduate or professional degree,Moved from different municipio:,Less than high school graduate,High school graduate (includes equivalency),Some college or associate's degree,Bachelor's degree,Graduate or professional degree,Moved from the United States:,Less than high school graduate,High school graduate (includes equivalency),Some college or associate's degree,Bachelor's degree,Graduate or professional degree,Moved from elsewhere:,Less than high school graduate,High school graduate (includes equivalency),Some college or associate's degree,Bachelor's degree,Graduate or professional degree,Total:,No income,With income:,"$1 to $9,999 or loss","$10,000 to $14,999","$15,000 to $24,999","$25,000 to $34,999","$35,000 to $49,999","$50,000 to $64,999","$65,000 to $74,999","$75,000 or more",Same house 1 year ago:,No income,With income:,"$1 to $9,999 or loss","$10,000 to $14,999","$15,000 to $24,999","$25,000 to $34,999","$35,000 to $49,999","$50,000 to $64,999","$65,000 to $74,999","$75,000 or more",Moved within same municipio:,No income,With income:,"$1 to $9,999 or loss","$10,000 to $14,999","$15,000 to $24,999","$25,000 to $34,999","$35,000 to $49,999","$50,000 to $64,999","$65,000 to $74,999","$75,000 or more",Moved from different municipio:,No income,With income:,"$1 to $9,999 or loss","$10,000 to $14,999","$15,000 to $24,999","$25,000 to $34,999","$35,000 to $49,999","$50,000 to $64,999","$65,000 to $74,999","$75,000 or more",Moved from the United States:,No income,With income:,"$1 to $9,999 or loss","$10,000 to $14,999","$15,000 to $24,999","$25,000 to $34,999","$35,000 to $49,999","$50,000 to $64,999","$65,000 to $74,999","$75,000 or more",Moved from elsewhere:,No income,With income:,"$1 to $9,999 or loss","$10,000 to $14,999","$15,000 to $24,999","$25,000 to $34,999","$35,000 to $49,999","$50,000 to $64,999","$65,000 to $74,999","$75,000 or more",Total:,Same house 1 year ago,Moved within same municipio,Moved from different municipio,Moved from the United States,Moved from elsewhere,Total:,Below 100 percent of the poverty level,100 to 149 percent of the poverty level,At or above 150 percent of the poverty level,Same house 1 year ago:,Below 100 percent of the poverty level,100 to 149 percent of the poverty level,At or above 150 percent of the poverty level,Moved within same municipio:,Below 100 percent of the poverty level,100 to 149 percent of the poverty level,At or above 150 percent of the poverty level,Moved from different municipio:,Below 100 percent of the poverty level,100 to 149 percent of the poverty level,At or above 150 percent of the poverty level,Moved from the United States:,Below 100 percent of the poverty level,100 to 149 percent of the poverty level,At or above 150 percent of the poverty level,Moved from elsewhere:,Below 100 percent of the poverty level,100 to 149 percent of the poverty level,At or above 150 percent of the poverty level,Total:,Never married,"Now married, except separated",Divorced or separated,Widowed,Same house 1 year ago:,Never married,"Now married, except separated",Divorced or separated,Widowed,Moved within same municipio:,Never married,"Now married, except separated",Divorced  or separated,Widowed,Moved from different municipio:,Never married,"Now married, except separated",Divorced  or separated,Widowed,Moved from the United States:,Never married,"Now married, except separated",Divorced  or separated,Widowed,Moved  from elsewhere:,Never married,"Now married, except separated",Divorced  or separated,Widowed,Geographic Identifier,Area Name
0,ACSSF,20100.0,dc,0,177,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,04001US11,District of Columbia -- Urban
1,ACSSF,20100.0,dc,0,177,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,040A0US11,District of Columbia -- In metropolitan or micropolitan statistical area
2,ACSSF,20100.0,dc,0,177,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,040C0US11,District of Columbia -- In metropolitan statistical area
3,ACSSF,20100.0,dc,0,177,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,040C1US11,District of Columbia -- In metropolitan statistical area -- in principal city
4,ACSSF,20100.0,dc,0,177,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,05000US11001,"District of Columbia, District of Columbia"
5,ACSSF,20100.0,dc,0,177,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16000US1150000,"Washington city, District of Columbia"
6,ACSSF,20100.0,dc,0,177,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31200US479001150000,"Washington city, DC; Washington-Arlington-Alexandria, DC-VA-MD-WV Metro Area"
7,ACSSF,20100.0,dc,0,177,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50000US1198,"Delegate District (at Large) (111th Congress), District of Columbia"
8,ACSSF,20100.0,dc,0,177,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,79500US1100101,"PUMA5 00101, District of Columbia"
9,ACSSF,20100.0,dc,0,177,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,79500US1100102,"PUMA5 00102, District of Columbia"
