,FILEID,FILETYPE,STUSAB,CHARITER,SEQUENCE,LOGRECNO,ALLOCATION OF MEANS OF TRANSPORTATION TO WORK FOR WORKPLACE GEOGRAPHY for Workers 16 Years And Over% Total:,ALLOCATION OF MEANS OF TRANSPORTATION TO WORK FOR WORKPLACE GEOGRAPHY for Workers 16 Years And Over% Allocated,ALLOCATION OF MEANS OF TRANSPORTATION TO WORK FOR WORKPLACE GEOGRAPHY for Workers 16 Years And Over% Not allocated,ALLOCATION OF TIME ARRIVING AT WORK FROM HOME FOR WORKPLACE GEOGRAPHY for Workers 16 Years And Over% Total:,ALLOCATION OF TIME ARRIVING AT WORK FROM HOME FOR WORKPLACE GEOGRAPHY for Workers 16 Years And Over% Did not work at home:,ALLOCATION OF TIME ARRIVING AT WORK FROM HOME FOR WORKPLACE GEOGRAPHY for Workers 16 Years And Over% Did not work at home:% Time arriving at work from home --% Allocated for either departure time or minutes to work,ALLOCATION OF TIME ARRIVING AT WORK FROM HOME FOR WORKPLACE GEOGRAPHY for Workers 16 Years And Over% Did not work at home:% Time arriving at work from home --% Not allocated for either departure time or minutes to work,ALLOCATION OF TIME ARRIVING AT WORK FROM HOME FOR WORKPLACE GEOGRAPHY for Workers 16 Years And Over% Worked at home,ALLOCATION OF TRAVEL TIME TO WORK FOR WORKPLACE GEOGRAPHY for Workers 16 Years And Over% Total:,ALLOCATION OF TRAVEL TIME TO WORK FOR WORKPLACE GEOGRAPHY for Workers 16 Years And Over% Did not work at home:,ALLOCATION OF TRAVEL TIME TO WORK FOR WORKPLACE GEOGRAPHY for Workers 16 Years And Over% Did not work at home:% Travel time to work --% Allocated,ALLOCATION OF TRAVEL TIME TO WORK FOR WORKPLACE GEOGRAPHY for Workers 16 Years And Over% Did not work at home:% Travel time to work --% Not allocated,ALLOCATION OF TRAVEL TIME TO WORK FOR WORKPLACE GEOGRAPHY for Workers 16 Years And Over% Worked at home,ALLOCATION OF VEHICLES AVAILABLE FOR WORKERS FOR WORKPLACE GEOGRAPHY for Workers 16 Years And Over In Households% Total:,ALLOCATION OF VEHICLES AVAILABLE FOR WORKERS FOR WORKPLACE GEOGRAPHY for Workers 16 Years And Over In Households% Allocated,ALLOCATION OF VEHICLES AVAILABLE FOR WORKERS FOR WORKPLACE GEOGRAPHY for Workers 16 Years And Over In Households% Not allocated,Geographic Identifier,Area Name
0,ACSSF,20160.0,dc,0,164,2,,,,,,,,,,,,,,,,,04001US11,District of Columbia -- Urban
1,ACSSF,20160.0,dc,0,164,3,,,,,,,,,,,,,,,,,040A0US11,District of Columbia -- In metropolitan or micropolitan statistical area
2,ACSSF,20160.0,dc,0,164,4,,,,,,,,,,,,,,,,,040C0US11,District of Columbia -- In metropolitan statistical area
3,ACSSF,20160.0,dc,0,164,5,,,,,,,,,,,,,,,,,040C1US11,District of Columbia -- In metropolitan statistical area -- in principal city
4,ACSSF,20160.0,dc,0,164,6,831531.0,86182.0,745349.0,831531.0,809770.0,170395.0,639375.0,21761.0,831531.0,809770.0,121218.0,688552.0,21761.0,821800.0,8774.0,813026.0,05000US11001,"District of Columbia, District of Columbia"
5,ACSSF,20160.0,dc,0,164,7,831531.0,86182.0,745349.0,831531.0,809770.0,170395.0,639375.0,21761.0,831531.0,809770.0,121218.0,688552.0,21761.0,821800.0,8774.0,813026.0,16000US1150000,"Washington city, District of Columbia"
6,ACSSF,20160.0,dc,0,164,8,831531.0,86182.0,745349.0,831531.0,809770.0,170395.0,639375.0,21761.0,831531.0,809770.0,121218.0,688552.0,21761.0,821800.0,8774.0,813026.0,31200US479001150000,"Washington city, DC; Washington-Arlington-Alexandria, DC-VA-MD-WV Metro Area"
7,ACSSF,20160.0,dc,0,164,9,,,,,,,,,,,,,,,,,50000US1198,"Delegate District (at Large) (115th Congress), District of Columbia"
8,ACSSF,20160.0,dc,0,164,10,,,,,,,,,,,,,,,,,79500US1100101,"District of Columbia (West) PUMA, District of Columbia"
9,ACSSF,20160.0,dc,0,164,11,,,,,,,,,,,,,,,,,79500US1100102,"District of Columbia (North) PUMA, District of Columbia"
10,ACSSF,20160.0,dc,0,164,12,,,,,,,,,,,,,,,,,79500US1100103,"District of Columbia (Northeast) PUMA, District of Columbia"
11,ACSSF,20160.0,dc,0,164,13,,,,,,,,,,,,,,,,,79500US1100104,"District of Columbia (East) PUMA, District of Columbia"
12,ACSSF,20160.0,dc,0,164,14,,,,,,,,,,,,,,,,,79500US1100105,"District of Columbia (Central) PUMA, District of Columbia"
13,ACSSF,20160.0,dc,0,164,15,,,,,,,,,,,,,,,,,97000US1100030,"District of Columbia Public Schools, District of Columbia"
