,FILEID,FILETYPE,STUSAB,CHARITER,SEQUENCE,LOGRECNO,Workers 16 years and over who did not work at home,Workers 16 years and over who did not work at home%%12:00 am to 4:59 am,Workers 16 years and over who did not work at home%%5:00 am to 5:29 am,Workers 16 years and over who did not work at home%%5:30 am to 5:59 am,Workers 16 years and over who did not work at home%%6:00 am to 6:29 am,Workers 16 years and over who did not work at home%%6:30 am to 6:59 am,Workers 16 years and over who did not work at home%%7:00 am to 7:29 am,Workers 16 years and over who did not work at home%%7:30 am to 7:59 am,Workers 16 years and over who did not work at home%%8:00 am to 8:29 am,Workers 16 years and over who did not work at home%%8:30 am to 8:59 am,Workers 16 years and over who did not work at home%%9:00 am to 9:59 am,Workers 16 years and over who did not work at home%%10:00 am to 10:59 am,Workers 16 years and over who did not work at home%%11:00 am to 11:59 am,Workers 16 years and over who did not work at home%%12:00 pm to 3:59 pm,Workers 16 years and over who did not work at home%%4:00 pm to 11:59 pm,Workers 16 years and over who did not work at home,Workers 16 years and over who did not work at home%%Less than 5 minutes,Workers 16 years and over who did not work at home%%5 to 9 minutes,Workers 16 years and over who did not work at home%%10 to 14 minutes,Workers 16 years and over who did not work at home%%15 to 19 minutes,Workers 16 years and over who did not work at home%%20 to 24 minutes,Workers 16 years and over who did not work at home%%25 to 29 minutes,Workers 16 years and over who did not work at home%%30 to 34 minutes,Workers 16 years and over who did not work at home%%35 to 39 minutes,Workers 16 years and over who did not work at home%%40 to 44 minutes,Workers 16 years and over who did not work at home%%45 to 59 minutes,Workers 16 years and over who did not work at home%%60 to 89 minutes,Workers 16 years and over who did not work at home%%90 or more minutes,Workers 16 years and over who did not work at home,Workers 16 years and over who did not work at home%%12:00 am to 4:59 am,Workers 16 years and over who did not work at home%%5:00 am to 5:29 am,Workers 16 years and over who did not work at home%%5:30 am to 5:59 am,Workers 16 years and over who did not work at home%%6:00 am to 6:29 am,Workers 16 years and over who did not work at home%%6:30 am to 6:59 am,Workers 16 years and over who did not work at home%%7:00 am to 7:29 am,Workers 16 years and over who did not work at home%%7:30 am to 7:59 am,Workers 16 years and over who did not work at home%%8:00 am to 8:29 am,Workers 16 years and over who did not work at home%%8:30 am to 8:59 am,Workers 16 years and over who did not work at home%%9:00 am to 11:59 pm,Workers 16 years and over who did not work at home,Workers 16 years and over who did not work at home%%Less than 10 minutes,Workers 16 years and over who did not work at home%%10 to 14 minutes,Workers 16 years and over who did not work at home%%15 to 19 minutes,Workers 16 years and over who did not work at home%%20 to 24 minutes,Workers 16 years and over who did not work at home%%25 to 29 minutes,Workers 16 years and over who did not work at home%%30 to 34 minutes,Workers 16 years and over who did not work at home%%35 to 44 minutes,Workers 16 years and over who did not work at home%%45 to 59 minutes,Workers 16 years and over who did not work at home%%60 or more minutes,Geographic Identifier,Area Name
0,ACSSF,20130.0,dc,0,41,2,315613,5619,7306,8484,14249,15422,37381,36933,58741,48729,36671,10894,4507,14829,15848,315613,5115,13177,22103,39732,48862,22816,65502,16957,18782,34239,20322,8006,315613,5619,7306,8484,14249,15422,37381,36933,58741,48729,82749,315613,18292,22103,39732,48862,22816,65502,35739,34239,28328,04001US11,District of Columbia -- Urban
1,ACSSF,20130.0,dc,0,41,3,315613,5619,7306,8484,14249,15422,37381,36933,58741,48729,36671,10894,4507,14829,15848,315613,5115,13177,22103,39732,48862,22816,65502,16957,18782,34239,20322,8006,315613,5619,7306,8484,14249,15422,37381,36933,58741,48729,82749,315613,18292,22103,39732,48862,22816,65502,35739,34239,28328,040A0US11,District of Columbia -- In metropolitan or micropolitan statistical area
2,ACSSF,20130.0,dc,0,41,4,315613,5619,7306,8484,14249,15422,37381,36933,58741,48729,36671,10894,4507,14829,15848,315613,5115,13177,22103,39732,48862,22816,65502,16957,18782,34239,20322,8006,315613,5619,7306,8484,14249,15422,37381,36933,58741,48729,82749,315613,18292,22103,39732,48862,22816,65502,35739,34239,28328,040C0US11,District of Columbia -- In metropolitan statistical area
3,ACSSF,20130.0,dc,0,41,5,315613,5619,7306,8484,14249,15422,37381,36933,58741,48729,36671,10894,4507,14829,15848,315613,5115,13177,22103,39732,48862,22816,65502,16957,18782,34239,20322,8006,315613,5619,7306,8484,14249,15422,37381,36933,58741,48729,82749,315613,18292,22103,39732,48862,22816,65502,35739,34239,28328,040C1US11,District of Columbia -- In metropolitan statistical area -- in principal city
4,ACSSF,20130.0,dc,0,41,6,315613,5619,7306,8484,14249,15422,37381,36933,58741,48729,36671,10894,4507,14829,15848,315613,5115,13177,22103,39732,48862,22816,65502,16957,18782,34239,20322,8006,315613,5619,7306,8484,14249,15422,37381,36933,58741,48729,82749,315613,18292,22103,39732,48862,22816,65502,35739,34239,28328,05000US11001,"District of Columbia, District of Columbia"
5,ACSSF,20130.0,dc,0,41,7,315613,5619,7306,8484,14249,15422,37381,36933,58741,48729,36671,10894,4507,14829,15848,315613,5115,13177,22103,39732,48862,22816,65502,16957,18782,34239,20322,8006,315613,5619,7306,8484,14249,15422,37381,36933,58741,48729,82749,315613,18292,22103,39732,48862,22816,65502,35739,34239,28328,16000US1150000,"Washington city, District of Columbia"
6,ACSSF,20130.0,dc,0,41,8,315613,5619,7306,8484,14249,15422,37381,36933,58741,48729,36671,10894,4507,14829,15848,315613,5115,13177,22103,39732,48862,22816,65502,16957,18782,34239,20322,8006,315613,5619,7306,8484,14249,15422,37381,36933,58741,48729,82749,315613,18292,22103,39732,48862,22816,65502,35739,34239,28328,31200US479001150000,"Washington city, DC; Washington-Arlington-Alexandria, DC-VA-MD-WV Metro Area"
7,ACSSF,20130.0,dc,0,41,9,315613,5619,7306,8484,14249,15422,37381,36933,58741,48729,36671,10894,4507,14829,15848,315613,5115,13177,22103,39732,48862,22816,65502,16957,18782,34239,20322,8006,315613,5619,7306,8484,14249,15422,37381,36933,58741,48729,82749,315613,18292,22103,39732,48862,22816,65502,35739,34239,28328,50000US1198,"Delegate District (at Large) (113th Congress), District of Columbia"
8,ACSSF,20130.0,dc,0,41,10,54954,112,165,385,874,2835,5289,8781,12406,11123,6270,1842,480,1486,2906,54954,947,2730,2724,6763,8618,4936,11577,3972,4448,6011,1760,468,54954,112,165,385,874,2835,5289,8781,12406,11123,12984,54954,3677,2724,6763,8618,4936,11577,8420,6011,2228,79500US1100101,"District of Columbia (West) PUMA, District of Columbia"
9,ACSSF,20130.0,dc,0,41,11,63216,1036,1941,2028,2459,2523,7636,6854,11145,7020,7421,3118,1594,3717,4724,63216,203,2268,2865,7548,10662,4686,13752,4554,3149,6589,5124,1816,63216,1036,1941,2028,2459,2523,7636,6854,11145,7020,20574,63216,2471,2865,7548,10662,4686,13752,7703,6589,6940,79500US1100102,"District of Columbia (North) PUMA, District of Columbia"
10,ACSSF,20130.0,dc,0,41,12,54692,1121,957,844,3300,2904,7103,6298,10586,7734,6975,1282,676,2519,2393,54692,837,2015,4399,7583,8585,3781,11484,2176,3415,6433,2634,1350,54692,1121,957,844,3300,2904,7103,6298,10586,7734,13845,54692,2852,4399,7583,8585,3781,11484,5591,6433,3984,79500US1100103,"District of Columbia (Northeast) PUMA, District of Columbia"
11,ACSSF,20130.0,dc,0,41,13,46949,2676,2797,3328,4404,4349,8739,4380,4688,1980,2469,708,546,3650,2235,46949,1135,993,2733,4422,4160,1238,9887,1217,3050,7425,7745,2944,46949,2676,2797,3328,4404,4349,8739,4380,4688,1980,9608,46949,2128,2733,4422,4160,1238,9887,4267,7425,10689,79500US1100104,"District of Columbia (East) PUMA, District of Columbia"
12,ACSSF,20130.0,dc,0,41,14,95802,674,1446,1899,3212,2811,8614,10620,19916,20872,13536,3944,1211,3457,3590,95802,1993,5171,9382,13416,16837,8175,18802,5038,4720,7781,3059,1428,95802,674,1446,1899,3212,2811,8614,10620,19916,20872,25738,95802,7164,9382,13416,16837,8175,18802,9758,7781,4487,79500US1100105,"District of Columbia (Central) PUMA, District of Columbia"
13,ACSSF,20130.0,dc,0,41,15,315613,5619,7306,8484,14249,15422,37381,36933,58741,48729,36671,10894,4507,14829,15848,315613,5115,13177,22103,39732,48862,22816,65502,16957,18782,34239,20322,8006,315613,5619,7306,8484,14249,15422,37381,36933,58741,48729,82749,315613,18292,22103,39732,48862,22816,65502,35739,34239,28328,97000US1100030,"District of Columbia Public Schools, District of Columbia"
